Cell ID,Remaining Useful Life,initial discharge capacity,final discharge capacity,discharge cap. slope,dis. cap. intercept, min. resistance,Delta resistance,Delta_Variance
53,2.357934847,1.02107656,1.008527398,-0.000457801,1.035999749,0.016717685,-0.000194624, 9.2782341301083e-05
54,2.26245109,1.0069849491,0.985050976,-0.00047727,1.004634271,0.017748362,-0.000900647, 8.901958101901191e-05
55,2.397940009,1.0178291798,1.015946865,-0.000203166,1.022017803,0.016077777,4.90E-05, 1.783366270306266e-05
56,2.356025857,1.0157836676,1.017348647,-0.000104069,1.017702596,0.015263778,0.00030521, 0.0001160439625424872
57,2.399673721,1.0272161961,1.009883165,-0.000261412,1.02303135,0.017003069,-0.000160562, 8.71657336639729e-05
58,2.390935107,0.989444375,0.971429288,-0.000281462,0.993708911,0.017226931,-0.000151656, 4.076636890962197e-05
59,2.432969291,1.0300761461,0.997446299,-0.000334961,1.025144037,0.016990477,-5.09E-05, 5.5944732308234674e-05
60,1.913813852,0.9919821620000001,0.913649797,-0.00174338,1.006663632,0.018627355,-0.000932256, 0.0013833437509298229
61,2.369215857,0.9411028624000001,1.061830044,5.28E-05,1.051184016,0.01869221,-1.37E-05, 0.011550061697984325
62,2.371067862,1.0158791542,1.004575968,-0.000426282,1.020681082,0.015795523,-0.000143463, 0.00010858656118356257
63,2.264817823,1.01927495,0.999049008,-0.000475628,1.01737351,0.015826434,-0.000145893, 0.00018956332603354176
64,2.424881637,1.0119386911,1.018725634,-0.000242292,1.028178579,0.017270915,-0.000210144, 9.938972004278971e-05
65,2.305351369,0.9072155356,0.994114459,-0.000206057,1.011635361,0.016649099,-0.000245426, 0.01206824661641258
66,2.285557309,1.015057683,1.000470758,-0.000371754,1.013437534,0.015189125,-1.61E-05, 0.00010053106317689151
67,2.456366033,0.9969590902000001,0.973065257,-0.000279593,0.994503024,0.014007753,-0.000185085, 9.491192178231908e-05
68,2.136720567,0.9919054508,0.972053051,-0.000303709,0.997711233,0.017694492,-0.000385629, 0.0002990715606716739
69,2.225309282,1.0155874491,0.97217375,-0.000761542,1.008302687,0.017467717,-0.000959879, 0.0011120851281504161
70,2.428134794,1.0088999271,1.014577031,-0.000367181,1.024019637,0.01725691,-0.000198323, 7.760859831657839e-05
71,1.959041392,1.0211578608,0.959664226,-0.001217925,1.015049287,0.018587271,-0.00108768, 0.0012159275141856204
72,2.318063335,1.0086451769,0.998626709,-0.000303894,1.011528253,0.0146281,-0.00017288, 9.10443028302338e-05
73,1.880813592,0.9118914604,0.890267909,-0.000459763,0.907327241,0.017272655,-0.000317855, 8.662057996383545e-05
74,2.413299764,1.0088199377,0.995179832,-0.000220473,1.006484971,0.01565068,-4.48E-05, 3.673554068699997e-05
75,2.281033367,1.0124081373,1.002643108,-0.000286745,1.014314389,0.015411673,-7.67E-05, 8.131536894382081e-05
76,2.305351369,1.0154904127,0.990950048,-0.000366485,1.01231558,0.015491855,-0.000210946, 9.092813927518219e-05
77,2.346352974,1.0171221495,1.002332807,-8.46E-05,1.00631789,0.015301056,-0.000190016, 7.44238645416726e-05
78,2.176091259,1.0273438692,0.985627592,-0.000871356,1.023785781,0.01673832,1.85E-05, 0.00027615067916215134
79,2.079181246,1.0097708702,0.989158332,-0.000511979,1.005796183,0.017557288,-0.00059985, 0.00046830552800512825
80,2.432969291,0.9982591271000001,0.996154785,-0.000244091,1.007036877,0.015336167,-8.62E-05, 5.2673145410256246e-05
81,2.599883072,1.0087239742,1.006135225,-0.000152417,1.004537078,0.014500845,-5.66E-05, 2.6894604180268048e-05
82,2.181843588,1.0090329647,0.991326869,-0.000341272,1.007107741,0.015113632,-4.72E-05, 0.00012976847045851434
83,2.149219113,1.0109778643,0.969289243,-0.001055802,1.020295103,0.016923355,-0.000699023, 0.0006497091208783277
84,2.198657087,1.0148226023,0.990188837,-0.00277477,1.039819909,0.017613849,4.70E-05, 0.00024911608253445693
85,2.318063335,1.0085095167,0.992685318,-0.000296349,1.010873991,0.014953689,-0.000165264, 7.077997989655781e-05
86,2.161368002,1.019713521,0.98586905,-0.000445677,1.021238799,0.016653152,-0.000425806, 0.0002241343325830538
87,2.401400541,0.9596806765,1.053697586,-4.11E-05,1.048330186,0.017016182,-6.24E-05, 0.004295818940560734
88,2.447158031,1.0186889172,0.99778378,-0.000301967,1.013280055,0.015530055,-0.000235179, 0.00012203216679424558
89,2.257678575,0.9951367378,0.968303025,-0.000321575,0.996202,0.015120571,-8.43E-05, 5.071615524050766e-05
90,2.305351369,1.0202118158,0.993754685,-0.000606177,1.017269601,0.017630283,-0.000113925, 0.00023829337592283669
91,2.496929648,1.0118919611,1.000262499,-0.000263903,1.011032349,0.015906408,-4.95E-05, 2.1981393958117693e-05
92,2.397940009,1.0155117512,1.005308509,-0.00031378,1.017696938,0.015138915,-7.26E-05, 5.7665841789760684e-05
93,2.178976947,1.0171768665,0.979931057,-0.000609022,1.013422788,0.01702052,0.000196902, 0.00021108869624812774
94,2.178976947,1.0180802345,0.998444319,-0.000680562,1.01809486,0.017949112,-0.000381926, 0.0002635318821113396
95,1.986771734,1.0163991451,0.970291674,-0.001078079,1.009552974,0.018177325,-0.000809194, 0.0008085783728956758
96,2.414973348,1.0228300095,1.000145078,-0.000323327,1.015757497,0.017138869,2.29E-06, 5.760257419794226e-05
97,2.164352856,1.001159668,0.941429555,-0.000839435,1.008570709,0.016724303,-0.000249723, 0.0004173722741436949
98,2.178976947,1.0116672516,0.960561633,0.001013914,0.870263777,0.01718328,-0.000147523, 0.0002797808382633539
99,1.986771734,1.0155496597,0.938391984,-0.000989087,1.004533738,0.01809844,-0.001084624, 0.0008934440391338806
100,2.089905111,1.0142866373,0.960071802,-0.000791628,1.004369438,0.017853551,-0.000906555, 0.0003893015004594023
101,2.260071388,1.0186523199,0.988712013,-0.000738938,1.014191306,0.017519932,3.61E-05, 0.0001881201362123449
102,2.120573931,0.9965062141000001,0.988388538,-0.000714432,1.01082277,0.01791184,-0.001222085, 0.00038856326974939743
103,2.045322979,1.0159109831,0.979039788,-0.001281772,0.993675134,0.018571505,-0.000541618, 0.0005704289752926642
104,2.749736316,1.006955862,1.010625601,-4.93E-05,1.013588859,0.015937693,2.59E-05, 2.015440287414045e-06
105,2.344392274,1.0248968601,1.001407981,-0.000452002,1.017683716,0.017530166,-0.000183064, 0.0001556799931522219
106,2.255272505,1.0066401958,0.983928025,-0.00043114,1.00660065,0.014954064,-0.000116158, 0.0001266823084766032
107,2.330413773,0.9597682357,0.941845357,-0.000390713,0.958599842,0.017172709,-2.18E-05, 9.596947709953703e-05
